run_index	run_name	replicate	config_file	result_dir	fastq_file	genome	AAV	IS_site_bias	clonality	genome_fnam	AAV_genome_fnam	tes_panel_fnam	prob_file	empirical_sizes	sampling_prob_bed	expansion	events	seed	fastq_md5sum
4	HESI_ISA_simulation_004	rep2	config_files/HESI_ISA_simulation_004.yaml	simulation_output/HESI_ISA_simulation_004	rep2_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	uniform	1000	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt		1	1000	302	580174151f8e4a91d5171efe984cc42f
4	HESI_ISA_simulation_004	rep3	config_files/HESI_ISA_simulation_004.yaml	simulation_output/HESI_ISA_simulation_004	rep3_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	uniform	1000	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt		1	1000	303	f0d8f2a1424eb999a45a1a2b35814c4a
5	HESI_ISA_simulation_005	rep1	config_files/HESI_ISA_simulation_005.yaml	simulation_output/HESI_ISA_simulation_005	rep1_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	Liver	900/100	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt	../integration_site_bias/liver_integration_bias.bed	[900, 1]	101	401	7f3dadfa5ccc201b79ae8c5272d59bdd
5	HESI_ISA_simulation_005	rep2	config_files/HESI_ISA_simulation_005.yaml	simulation_output/HESI_ISA_simulation_005	rep2_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	Liver	900/100	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt	../integration_site_bias/liver_integration_bias.bed	[900, 1]	101	402	81e413697e3167d17ec03aebd0b838f4
5	HESI_ISA_simulation_005	rep3	config_files/HESI_ISA_simulation_005.yaml	simulation_output/HESI_ISA_simulation_005	rep3_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	Liver	900/100	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt	../integration_site_bias/liver_integration_bias.bed	[900, 1]	101	403	39e8d7e9e60fba7fc8f505160c697bdd
6	HESI_ISA_simulation_006	rep1	config_files/HESI_ISA_simulation_006.yaml	simulation_output/HESI_ISA_simulation_006	rep1_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	Liver	500/500	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt	../integration_site_bias/liver_integration_bias.bed	[500, 1]	501	501	3a5e2926d7230f50023c8c24d7b745d7
6	HESI_ISA_simulation_006	rep2	config_files/HESI_ISA_simulation_006.yaml	simulation_output/HESI_ISA_simulation_006	rep2_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	Liver	500/500	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt	../integration_site_bias/liver_integration_bias.bed	[500, 1]	501	502	9d9e397553f5b62df1e4c0db7ac05ed2
6	HESI_ISA_simulation_006	rep3	config_files/HESI_ISA_simulation_006.yaml	simulation_output/HESI_ISA_simulation_006	rep3_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	Liver	500/500	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt	../integration_site_bias/liver_integration_bias.bed	[500, 1]	501	503	bd9c1792e9e06f756404ad60cfbd5ae6
7	HESI_ISA_simulation_007	rep1	config_files/HESI_ISA_simulation_007.yaml	simulation_output/HESI_ISA_simulation_007	rep1_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	Liver	100/900	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt	../integration_site_bias/liver_integration_bias.bed	[100, 1]	901	601	9835d114988cf8cd1c05d2f90527bea9
7	HESI_ISA_simulation_007	rep2	config_files/HESI_ISA_simulation_007.yaml	simulation_output/HESI_ISA_simulation_007	rep2_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	Liver	100/900	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt	../integration_site_bias/liver_integration_bias.bed	[100, 1]	901	602	5c961edbc153307a4ef01d0cfcba40a0
